Company,Content,Date,LinkSrc,Title,imgSrc
KBS,국회는 청탁금지법 시행 이후 국회의원 38명이 피감기관 비용으로 부적절한 해외출장을 간 것으로 의심된다는 국민권익위 발표와 관련 ,2018.08.08 23:59,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0010607632,“피감기관 지원 해외 출장 문제 의원 윤리위 회부”,https://imgnews.pstatic.net/image/origin/056/2018/08/08/10607632.jpg?type=ofullfill106_72
세계일보,문재인 대통령 부인 김정숙 여사(가운데)가 8일 경기 화성소방서를 찾아 특수방화복을 직접 입어보고 있다. 김 여사는 “이 무더위 ,2018.08.08 23:24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003295200,“소방관 김정숙 신고합니다”,https://imgnews.pstatic.net/image/origin/022/2018/08/08/3295200.jpg?type=ofullfill106_72
조이뉴스24,<조이뉴스24>[조이뉴스24 박용근 기자] '추적60분'이 사라진 4대강 사업 비자금 장부의 행방을 쫓는다.8일 방송되는 KBS ,2018.08.08 23:18,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=111&aid=0000529917,'추적60분' 사라진 4대강 사업 비자금 장부 USB 행방을 찾아라!,https://imgnews.pstatic.net/image/origin/111/2018/08/08/529917.jpg?type=ofullfill106_72
뉴시스,【서울=뉴시스】강수윤 기자 = 외교부는 7일(현지시간) 콜롬비아 보고타에서 열린 이반 두케 콜롬비아 신임 대통령 취임식에 우원식 ,2018.08.08 23:04,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008747922,韓특사단 콜롬비아 신임 대통령에 文대통령 친서전달,https://imgnews.pstatic.net/image/origin/003/2018/08/08/8747922.jpg?type=ofullfill106_72
뉴스1,(서울=뉴스1) 문대현 기자 = 외교부는 8일 수입 업체 두 곳이 북한산 석탄인지를 알고도 들여왔다는 보도에 대해 사실이 아니라 ,2018.08.08 23:03,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0003526027,외교부 '업체 2곳 북한산 석탄 알고 반입' 보도…사실 아냐,https://imgnews.pstatic.net/image/origin/421/2018/08/08/3526027.jpg?type=ofullfill106_72
뉴시스,【테헤란=AP/뉴시스】 북한의 리용호 외무상이 8일 이란의 하산 로하니 대통령을 예방해 악수하고 있다. 대통령궁 제공 사진. 2 ,2018.08.08 23:00,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008747921,로하니 이란 대통령과 악수하는 리용호 외상 ,https://imgnews.pstatic.net/image/origin/003/2018/08/08/8747921.jpg?type=ofullfill106_72
SBS,남북은 금강산 지역에서 산림 병해충 피해 상황을 공동으로 점검하고 이를 토대로 구체적 방제 계획을 세우기로 했다고 통일부가 밝혔 ,2018.08.08 22:46,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=055&aid=0000665448,남북 금강산 병해충 피해 점검…향후 방제계획 수립,https://imgnews.pstatic.net/image/origin/055/2018/08/08/665448.jpg?type=ofullfill106_72
뉴시스,【서울=뉴시스】강수윤 기자 = 외교부는 '수입업체 2곳이 북한산 석탄인지를 알고도 반입했다'는 보도에 대해 사실이 아니다고  ,2018.08.08 22:44,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008747918,외교부 '업체2곳 북한산 석탄 알고 반입' 보도 부인,https://imgnews.pstatic.net/image/origin/003/2018/08/08/8747918.jpg?type=ofullfill106_72
뉴시스,【서울=뉴시스】이지예 기자 = 안토니우 구테흐스 유엔 사무총장은 기회가 된다면 북한 비핵화를 돕기 위해 방북할 용의가 있다고 밝 ,2018.08.08 22:42,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008747917,구테흐스 기회 된다면 비핵화 돕기 위해 방북할 수 있어,https://imgnews.pstatic.net/image/origin/003/2018/08/08/8747917.jpg?type=ofullfill106_72
연합뉴스,'오사카 총영사' 인사청탁 도모 변호사,2018.08.08 22:39,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010259425,드루킹 최측근 변호사 또 구속영장 기각…靑인사 수사 차질 전망,https://imgnews.pstatic.net/image/origin/001/2018/08/08/10259425.jpg?type=ofullfill106_72
