Company,Content,Date,LinkSrc,Title,imgSrc
파이낸셜뉴스,최선희 북한 외부성 부상(가운데)이 지난 15일 평양에서 외신기자들을 상대로 기자회견을 하고 있다. /사진=연합뉴스 최선희 북한 ,3시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004194353,北매체 '핵협상 중단 고려' 보도 일체 안해,https://imgnews.pstatic.net/image/origin/014/2019/03/16/4194353.jpg?type=ofullfill106_72
YTN,■ 진행 : 이세나 앵커 ■ 출연 : 최진봉 / 성공회대 교수 김병민 / 경희대 교수 * 아래 텍스트는 실제 방송 내용과 차이 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266541,'송곳 검증' 인사청문회...정국 '뇌관' 부상,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266541.jpg?type=ofullfill106_72
YTN,■ 진행 : 이세나 앵커 ■ 출연 : 최진봉 / 성공회대 교수 김병민 / 경희대 교수 * 아래 텍스트는 실제 방송 내용과 차이 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266530,'송곳 검증' 인사청문회...정국 '뇌관' 부상,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266530.jpg?type=ofullfill106_72
KBS,[앵커] 민주당과 야 3당이 신속처리 안건 패스트트랙에 올릴 선거제 개혁안에 전격 합의했습니다. 세부 내용은 더 조율해야 하지 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0010681257,[앵커의 눈] ‘선거제 개혁안’ 큰 틀 합의…셈법은 복잡,https://imgnews.pstatic.net/image/origin/056/2019/03/16/10681257.jpg?type=ofullfill106_72
연합뉴스,한국 화해·평화·통일을 위한 용기있는 발걸음 나아가 2017년 인터뷰에서 김정은 미치지 않아,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010698940,獨 가브리엘 前외무 이달 北 방문…'北美 중재' 역할 할까,https://imgnews.pstatic.net/image/origin/001/2019/03/16/10698940.jpg?type=ofullfill106_72
파이낸셜뉴스,심상정 국회 정치개혁특별위원회 위원장(왼쪽)과 더불어민주당 김종민 간사가 6일 오후 국회에서 열린 정치개혁특위 간사회의에서 악수 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004194347,여야4당 17일 선거제 합의안 최종 작업...한국당 반발 등 정국 기로,https://imgnews.pstatic.net/image/origin/014/2019/03/16/4194347.jpg?type=ofullfill106_72
YTN,자유한국당은 여야 4당이 자신들을 제외하고 연동형 비례대표제를 바탕으로 한 선거제 개혁 실무안을 마련한 것과 관련 정략적 야합 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266507,한국당 여야4당 선거제 저지 총력...내일 긴급회의,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266507.jpg?type=ofullfill106_72
YTN,더불어민주당과 바른미래당 민주평화당 정의당 등 여야 4당은 내일 회동을 열고 선거제·개혁법안 패스트트랙 실무안 협상을 마무리 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266506,여야 4당 내일 선거제 단일안 마무리 협상,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266506.jpg?type=ofullfill106_72
YTN,[앵커] 내년 총선의 가늠자 역할을 할 것으로 보이는 4·3 보궐 선거를 앞두고 여야의 총력전이 본격 시작됐습니다. 민주당은 예 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266505,與 예산 집중 vs 野 정권 심판...4·3 총력전,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266505.jpg?type=ofullfill106_72
YTN,자유한국당 황교안 대표는 최선희 북한 외무성 부상이 어제 회견에서 비핵화 협상 중단 고려를 언급한 것과 관련해 문재인 대통령은  ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266504,황교안 文 대통령 도대체 어느 나라에 있나,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266504.jpg?type=ofullfill106_72
매일경제,나경원 자유한국당 원내대표가 손혜원 의원의 아버지를 언급하며 좌익 활동 경력이 있는 이들이 독립유공자에 포함되는 데 우려를 표시 ,4시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004321109,손혜원 나경원에 “아버지는 이기적 정치인이 입에 올릴 분 아냐”,https://imgnews.pstatic.net/image/origin/009/2019/03/16/4321109.jpg?type=ofullfill106_72
매일경제,박영선 중소벤처기업부 장관 후보자는 지난 2004년 국회 입성 이후 총 49건의 중소기업 관련 법안을 대표 발의했다고 16일 ,5시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004321107,박영선 “국회 입성 이후 중소기업 관련 법안 49건 발의”,https://imgnews.pstatic.net/image/origin/009/2019/03/16/4321107.jpg?type=ofullfill106_72
YTN,[앵커] 문재인 대통령이 하노이 회담 결렬 뒤 첫 순방이었던 동남아 3개국 국빈 방문을 마치고 귀국했습니다. 문 대통령은 귀국  ,5시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266503,문 대통령 귀국...북·미 대화 궤도 유지 최대 과제,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266503.jpg?type=ofullfill106_72
YTN,작년 4월 북한의 석탄 운반선에 타고 있던 선원 20여 명이 인도네시아 당국에 수개월 간 억류됐던 사실이 뒤늦게 알려졌다고 미국 ,5시간전	,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001266502,北선원들 지난해 인도네시아 억류 ...1명 사망,https://imgnews.pstatic.net/image/origin/052/2019/03/16/1266502.jpg?type=ofullfill106_72
