,날짜,종가
0,2019.06.21,860.94
1,2019.06.20,846.44
2,2019.06.19,830.16
3,2019.06.18,804.35
4,2019.06.17,837.38
5,2019.06.14,870.17
6,2019.06.13,855.05
7,2019.06.12,837.01
8,2019.06.11,800.89
9,2019.06.10,707.72
10,2019.06.07,747.3
11,2019.06.05,755.08
12,2019.06.04,761.25
13,2019.06.03,767.16
14,2019.05.31,747.58
15,2019.05.30,737.2
16,2019.05.29,713.23
17,2019.05.28,692.07
18,2019.05.27,725.39
19,2019.05.24,713.97
20,2019.05.23,752.59
21,2019.05.22,752.76
22,2019.05.21,751.29
23,2019.05.20,770.24
24,2019.05.17,760.85
25,2019.05.16,759.51
26,2019.05.15,740.3
27,2019.05.14,728.67
28,2019.05.13,746.77
29,2019.05.10,727.18
30,2019.05.09,712.95
31,2019.05.08,730.68
32,2019.05.07,691.61
33,2019.05.03,679.76
34,2019.05.02,674.95
35,2019.04.30,699.53
36,2019.04.29,656.66
37,2019.04.26,655.93
38,2019.04.25,691.26
39,2019.04.24,731.88
40,2019.04.23,738.49
41,2019.04.22,760.69
42,2019.04.19,794.21
43,2019.04.18,822.54
44,2019.04.17,800.11
45,2019.04.16,836.4
46,2019.04.15,845.81
47,2019.04.12,804.45
48,2019.04.11,819.27
49,2019.04.10,770.95
50,2019.04.09,759.04
51,2019.04.08,755.38
52,2019.04.05,785.32
53,2019.04.04,781.87
54,2019.04.03,782.24
55,2019.04.02,778.94
56,2019.04.01,791.55
57,2019.03.29,809.87
58,2019.03.28,818.73
59,2019.03.27,818.9
60,2019.03.26,821.22
61,2019.03.25,835.21
62,2019.03.22,818.53
63,2019.03.21,830.4
64,2019.03.20,837.63
65,2019.03.19,841.74
66,2019.03.18,851.47
67,2019.03.15,836.86
68,2019.03.14,839.76
69,2019.03.13,845.75
70,2019.03.12,827.95
71,2019.03.11,812.33
72,2019.03.08,797.3
73,2019.03.07,778.9
74,2019.03.06,783.06
75,2019.03.05,737.89
76,2019.03.04,737.64
77,2019.02.28,743.84
78,2019.02.27,727.68
79,2019.02.26,692.65
80,2019.02.25,705.97
81,2019.02.22,727.1
82,2019.02.21,728.33
83,2019.02.20,722.08
84,2019.02.19,710.0
85,2019.02.18,675.59
86,2019.02.15,666.08
87,2019.02.14,710.23
88,2019.02.13,729.28
89,2019.02.12,722.21
90,2019.02.11,733.25
91,2019.02.08,751.14
92,2019.02.07,743.49
93,2019.02.01,728.32
94,2019.01.31,722.58
95,2019.01.30,738.61
96,2019.01.29,719.79
97,2019.01.28,718.86
98,2019.01.25,729.8
99,2019.01.24,731.81
100,2019.01.23,731.56
101,2019.01.22,718.93
102,2019.01.21,688.62
103,2019.01.18,692.19
104,2019.01.17,681.3
105,2019.01.16,679.24
106,2019.01.15,676.69
107,2019.01.14,656.37
108,2019.01.11,653.68
109,2019.01.10,650.14
110,2019.01.09,628.2
111,2019.01.08,577.56
112,2019.01.07,571.17
113,2019.01.04,606.08
114,2019.01.03,595.99
115,2019.01.02,553.25
116,2018.12.28,584.63
117,2018.12.27,587.6
118,2018.12.26,599.31
119,2018.12.24,605.85
120,2018.12.21,613.22
121,2018.12.20,589.22
122,2018.12.19,598.42
123,2018.12.18,606.79
124,2018.12.17,608.85
125,2018.12.14,589.18
126,2018.12.13,588.34
127,2018.12.12,557.18
128,2018.12.11,534.71
129,2018.12.10,524.6
130,2018.12.07,550.1
131,2018.12.06,512.85
132,2018.12.05,514.17
133,2018.12.04,515.04
134,2018.12.03,545.97
135,2018.11.30,528.37
136,2018.11.29,545.05
137,2018.11.28,542.33
138,2018.11.27,523.67
139,2018.11.26,515.34
140,2018.11.23,504.73
141,2018.11.22,514.48
142,2018.11.21,548.76
143,2018.11.20,558.1
144,2018.11.19,560.41
145,2018.11.16,556.66
146,2018.11.15,553.35
147,2018.11.14,558.09
148,2018.11.13,560.66
149,2018.11.12,565.18
150,2018.11.09,538.94
151,2018.11.08,552.99
152,2018.11.07,557.48
153,2018.11.06,555.04
154,2018.11.05,551.26
155,2018.11.02,537.4
156,2018.11.01,531.45
157,2018.10.31,522.33
158,2018.10.30,514.31
159,2018.10.29,530.84
160,2018.10.26,554.04
161,2018.10.25,536.94
162,2018.10.24,516.44
163,2018.10.23,509.23
164,2018.10.22,514.46
165,2018.10.19,501.73
166,2018.10.18,516.96
167,2018.10.17,517.89
168,2018.10.16,523.78
169,2018.10.15,534.81
170,2018.10.12,554.8
171,2018.10.11,543.08
172,2018.10.10,557.84
173,2018.10.08,547.38
174,2018.10.05,534.0
175,2018.10.04,539.27
176,2018.10.02,530.8
177,2018.10.01,514.21
178,2018.09.28,511.9
179,2018.09.27,500.6
180,2018.09.21,504.62
181,2018.09.20,520.95
182,2018.09.19,521.43
183,2018.09.18,558.02
184,2018.09.17,580.85
185,2018.09.14,586.65
186,2018.09.13,589.92
187,2018.09.12,560.81
188,2018.09.11,561.79
189,2018.09.10,587.87
190,2018.09.07,599.0
191,2018.09.06,603.42
192,2018.09.05,595.83
193,2018.09.04,604.05
194,2018.09.03,619.78
195,2018.08.31,627.45
196,2018.08.30,591.73
197,2018.08.29,596.54
198,2018.08.28,591.34
199,2018.08.27,617.91
200,2018.08.24,612.3
201,2018.08.23,608.48
202,2018.08.22,579.16
203,2018.08.21,586.58
204,2018.08.20,576.19
205,2018.08.17,591.57
206,2018.08.16,595.47
207,2018.08.14,599.2
208,2018.08.13,598.78
209,2018.08.10,603.83
210,2018.08.09,603.63
211,2018.08.08,604.92
212,2018.08.07,596.67
213,2018.08.06,608.74
214,2018.08.03,594.53
215,2018.08.02,583.41
216,2018.08.01,583.52
217,2018.07.31,585.32
218,2018.07.30,577.57
219,2018.07.27,578.1
220,2018.07.26,559.44
221,2018.07.25,565.38
222,2018.07.24,568.15
223,2018.07.23,568.64
224,2018.07.20,579.28
225,2018.07.19,565.76
226,2018.07.18,545.05
227,2018.07.17,527.97
228,2018.07.16,543.28
229,2018.07.13,541.83
230,2018.07.12,538.67
231,2018.07.11,534.33
232,2018.07.10,531.59
233,2018.07.09,532.59
234,2018.07.06,527.05
235,2018.07.05,537.97
236,2018.07.04,545.98
237,2018.07.03,532.9
238,2018.07.02,528.79
239,2018.06.29,523.8
240,2018.06.28,523.22
241,2018.06.27,515.2
242,2018.06.26,503.26
243,2018.06.25,493.69
244,2018.06.22,506.22
245,2018.06.21,497.46
246,2018.06.20,491.21
247,2018.06.19,507.53
248,2018.06.18,514.21
249,2018.06.15,516.1
250,2018.06.14,508.35
251,2018.06.12,513.97
252,2018.06.11,540.0
253,2018.06.08,563.31
254,2018.06.07,556.29
255,2018.06.05,560.94
256,2018.06.04,555.64
257,2018.06.01,566.34
258,2018.05.31,561.62
259,2018.05.30,556.63
260,2018.05.29,577.36
261,2018.05.28,583.7
262,2018.05.25,584.4
263,2018.05.24,585.6
264,2018.05.23,596.5
265,2018.05.21,590.91
266,2018.05.18,578.84
267,2018.05.17,581.38
268,2018.05.16,583.06
269,2018.05.15,584.08
270,2018.05.14,581.3
271,2018.05.11,572.4
272,2018.05.10,596.39
273,2018.05.09,600.54
274,2018.05.08,618.96
275,2018.05.04,617.99
276,2018.05.03,622.6
277,2018.05.02,622.28
278,2018.04.30,624.11
279,2018.04.27,618.47
280,2018.04.26,632.05
281,2018.04.25,628.42
282,2018.04.24,612.16
283,2018.04.23,607.07
284,2018.04.20,610.91
285,2018.04.19,597.66
286,2018.04.18,601.14
287,2018.04.17,621.78
288,2018.04.16,608.23
289,2018.04.13,607.15
290,2018.04.12,614.05
291,2018.04.11,613.75
292,2018.04.10,618.96
293,2018.04.09,608.78
294,2018.04.06,608.91
295,2018.04.05,595.72
296,2018.04.04,595.53
297,2018.04.03,599.08
298,2018.04.02,598.02
299,2018.03.30,588.71
300,2018.03.29,584.76
301,2018.03.28,583.27
302,2018.03.27,595.13
303,2018.03.26,596.74
304,2018.03.23,594.31
305,2018.03.22,597.25
306,2018.03.21,593.61
307,2018.03.20,578.54
308,2018.03.19,560.0
309,2018.03.16,558.6
310,2018.03.15,553.65
311,2018.03.14,559.95
312,2018.03.13,548.49
313,2018.03.12,548.93
314,2018.03.09,540.53
315,2018.03.08,545.74
316,2018.03.07,537.71
317,2018.03.06,524.21
318,2018.03.05,526.62
319,2018.03.02,526.08
320,2018.02.28,529.22
321,2018.02.27,541.13
322,2018.02.26,533.53
323,2018.02.23,541.55
324,2018.02.22,562.79
325,2018.02.21,567.46
326,2018.02.20,568.69
327,2018.02.19,569.37
328,2018.02.14,567.5
329,2018.02.13,565.94
330,2018.02.12,549.67
331,2018.02.09,555.34
332,2018.02.08,562.0
333,2018.02.07,577.15
334,2018.02.06,580.95
335,2018.02.05,580.99
336,2018.02.02,567.09
337,2018.02.01,568.68
338,2018.01.31,574.87
339,2018.01.30,570.07
340,2018.01.29,569.31
341,2018.01.26,578.74
342,2018.01.25,576.51
343,2018.01.24,565.63
344,2018.01.23,564.36
345,2018.01.22,545.11
346,2018.01.19,541.83
347,2018.01.18,558.79
348,2018.01.17,551.91
349,2018.01.16,552.59
350,2018.01.15,555.08
351,2018.01.12,550.73
352,2018.01.11,540.57
353,2018.01.10,475.6
354,2018.01.09,499.25
355,2018.01.08,482.29
356,2018.01.05,468.76
357,2018.01.04,484.93
358,2018.01.03,486.75
359,2018.01.02,480.27
360,2017.12.28,472.31
361,2017.12.27,482.19
362,2017.12.26,472.13
363,2017.12.22,472.85
364,2017.12.21,472.38
365,2017.12.20,479.68
366,2017.12.19,500.64
367,2017.12.18,501.92
368,2017.12.15,496.13
369,2017.12.14,507.61
370,2017.12.13,503.46
371,2017.12.12,517.05
372,2017.12.11,516.4
373,2017.12.08,513.99
374,2017.12.07,521.91
375,2017.12.06,528.29
376,2017.12.05,524.21
377,2017.12.04,528.04
378,2017.12.01,528.7
379,2017.11.30,530.5
380,2017.11.29,541.49
381,2017.11.28,542.19
382,2017.11.27,543.41
383,2017.11.24,547.87
384,2017.11.23,533.87
385,2017.11.22,537.81
386,2017.11.21,544.09
387,2017.11.20,550.57
388,2017.11.17,561.62
389,2017.11.16,565.47
390,2017.11.15,562.03
391,2017.11.14,573.04
392,2017.11.13,576.75
393,2017.11.10,584.48
394,2017.11.09,588.83
395,2017.11.08,606.68
396,2017.11.07,606.44
397,2017.11.06,610.88
398,2017.11.03,626.43
399,2017.11.02,616.33
400,2017.11.01,615.45
401,2017.10.31,624.56
402,2017.10.30,645.18
403,2017.10.27,674.56
404,2017.10.26,670.1
405,2017.10.25,632.02
406,2017.10.24,628.86
407,2017.10.23,643.89
408,2017.10.20,650.66
409,2017.10.19,649.9
410,2017.10.18,688.31
411,2017.10.17,686.61
412,2017.10.16,704.5
